Time,Time Code,Country Name,Country,Rural p,School r,Fertility r,Pop t,GDP p,expend p,labor t,complete r,eLife,20%low income,Literacy rate
2014,YR2014,Eritrea,ERI,..,44.13182,4.285,..,..,..,..,..,64.174,..,..
2014,YR2014,China,CHN,624030741,..,1.61,1364270000,7683.502613,..,786573327,..,75.932,6.3,..
2014,YR2014,India,IND,874855900,..,2.384,1293859294,1576.004018,..,494963721,97.57359,68.021,..,..
2014,YR2014,United States,USA,58999333,93.2305,1.8625,318622525,54696.72617,19.91057968,159800262,..,78.84146341,..,..
2014,YR2014,Indonesia,IDN,120842853,88.86745,2.414,255131116,3491.595887,12.27921963,123063758,103.8482,68.856,7.2,95.11622
2014,YR2014,Brazil,BRA,29627241,94.84088,1.753,204213133,12026.61939,19.58982086,100603554,..,75.042,3.7,91.72943
2014,YR2014,Pakistan,PAK,119085443,72.73218,3.617,185546257,1316.980966,8.102129936,62716806,73.47147,66.139,..,56.97715
2014,YR2014,Nigeria,NGA,93555829,..,5.653,176460502,3221.678116,..,54260696,..,52.549,..,..
2014,YR2014,Bangladesh,BGD,105948719,..,2.165,159405279,1084.56543,..,63214859,..,71.803,..,61.0933
2014,YR2014,Russian Federation,RUS,37465023,95.29892,1.75,143819666,14125.90873,..,76349070,100.39783,70.74365854,6.6,..
2014,YR2014,Japan,JPN,11067921,98.28512,1.42,127276000,38109.41211,..,66182686,102.8883,83.58780488,..,..
2014,YR2014,Mexico,MEX,26095232,96.20532,2.243,124221600,10582.41053,14.66810036,54835995,106.36774,76.753,5.4,94.55588
2014,YR2014,Philippines,PHL,53962119,96.06951,2.992,100102249,2842.938353,..,42512009,99.32071,68.813,..,..
2014,YR2014,Ethiopia,ETH,78869034,85.67554,4.437,97366774,571.1622759,8.458180428,46668355,53.54442,64.535,..,..
2014,YR2014,Vietnam,VNM,61898666,..,1.96,92544915,2012.04629,..,55902420,106.08883,75.855,7.1,..
2014,YR2014,"Egypt, Arab Rep.",EGY,52480981,95.82694,3.336,91812566,3327.754247,..,29973127,..,71.12,..,..
2014,YR2014,Germany,DEU,18472108,98.61822,1.47,80982500,48042.56343,17.70738029,42457453,98.81083,81.0902439,..,..
